"","#","Name","Adj. Vol (24h)*","Volume (24h)","Volume (7d)","Volume (30d)","No. Markets","Change (24h)","Vol Graph (7d)","Launched","Sys.Date()"
"107",107,"OKCoin","$1,431,857","$1,431,857","$5,317,897","$52,814,777",42,"50.01%",NA,"Apr 2013",2019-01-30
"108",108,"CPDAX","$1,365,597","$1,365,597","$8,348,432","$77,348,707",29,"13.19%",NA,"Sep 2017",2019-01-30
"109",109,"Negocie Coins","$1,359,262","$1,359,262","$3,729,480","$38,016,218",7,"-11.63%",NA,"Nov 2013",2019-01-30
"110",110,"CoinEx","$1,272,446","$1,272,446","$5,325,586","$31,989,138",102,"104.09%",NA,"Jan 2012",2019-01-30
"111",111,"InfinityCoin ...","$1,194,367","$1,194,367","$5,253,261","$135,156,114",1,"-16.88%",NA,"Nov 2018",2019-01-30
"112",112,"Altcoin Trader","$1,136,655","$1,136,655","$3,606,436","$34,538,030",17,"19.51%",NA,"Jul 2014",2019-01-30
"113",113,"Bitso","$1,012,740","$1,012,740","$2,616,600","$24,118,793",15,"30.98%",NA,"May 2014",2019-01-30
"114",114,"Mercado Bitcoin","$896,960","$896,960","$1,924,135","$23,031,454",5,"-4.30%",NA,"Jun 2013",2019-01-30
"115",115,"Coinbe","$876,174","$876,174","$2,515,468","$268,297,831",38,"11.28%",NA,"Jan 2018",2019-01-30
"116",116,"OpenLedger DEX","$822,316","$822,316","$1,713,726","$19,067,763",79,"-17.77%",NA,"Aug 2015",2019-01-30
"117",117,"IDEX","$761,838","$761,838","$2,148,243","$11,873,813",432,"11.36%",NA,"Oct 2016",2019-01-30
"118",118,"Rfinex","$756,931","$756,931","$2,230,825","$15,778,890",7,"-0.30%",NA,"Jan 2017",2019-01-30
"119",119,"Koineks","$747,923","$747,923","$2,392,943","$18,581,580",14,"21.55%",NA,"Aug 2017",2019-01-30
"120",120,"Bancor Network","$729,615","$729,615","$4,354,731","$20,976,966",101,"13.10%",NA,"Jan 2017",2019-01-30
"121",121,"GBX Digital A...","$713,577","$713,577","$1,949,235","$25,896,630",25,"31.55%",NA,"Jul 2018",2019-01-30
"122",122,"BigONE","$712,153","$1,369,087","$2,459,941","$24,660,784",72,"44.91%",NA,"Jun 2017",2019-01-30
"123",123,"Stellarport","$710,827","$710,827","$2,421,572","$20,031,190",26,"26.84%",NA,"Jan 2018",2019-01-30
"124",124,"Independent R...","$694,302","$694,302","$2,101,783","$17,205,740",14,"45.26%",NA,"May 2013",2019-01-30
"125",125,"Stronghold","$643,818","$643,818","$2,165,347","$18,697,686",10,"22.21%",NA,"Jul 2016",2019-01-30
"126",126,"Bitibu","$643,390","$681,659","$3,799,625","$23,777,115",40,"-28.44%",NA,"Jan 2018",2019-01-30
"127",127,"ACX","$642,496","$642,496","$2,144,120","$22,711,135",12,"52.45%",NA,"Apr 2016",2019-01-30
"128",128,"Trade.io","$636,825","$636,825","$2,638,099","$20,773,810",40,"-7.15%",NA,"Jul 2018",2019-01-30
"129",129,"Tidebit","$568,836","$568,836","$2,512,226","$40,267,935",7,"-23.96%",NA,"Jan 2015",2019-01-30
"130",130,"BitcoinTrade","$526,469","$526,469","$816,049","$9,988,946",3,"22.27%",NA,"Jun 2017",2019-01-30
"131",131,"Coinfloor","$525,836","$525,836","$1,809,057","$14,121,181",3,"-35.56%",NA,"Apr 2013",2019-01-30
"132",132,"Bitkub","$522,856","$522,856","$2,018,664","$15,968,462",22,"-34.23%",NA,"Feb 2018",2019-01-30
"133",133,"Crex24","$504,132","$504,132","$2,382,404","$15,491,449",217,"6.38%",NA,"Aug 2017",2019-01-30
"134",134,"LiteBit.eu","$467,162","$467,162","$1,346,019","$10,004,487",48,"11.55%",NA,"Dec 2013",2019-01-30
"135",135,"Zaif","$445,960","$5,665,748","$16,443,452","$92,098,543",11,"55.09%",NA,"May 2014",2019-01-30
"136",136,"CryptoBridge","$436,453","$436,453","$1,794,785","$14,661,558",219,"0.14%",NA,"Jul 2017",2019-01-30
"137",137,"Gatehub","$416,245","$416,245","$514,024","$3,194,134",4,"292.46%",NA,"Nov 2014",2019-01-30
"138",138,"Bitonic","$358,635","$358,635","$1,517,612","$9,579,723",1,"-40.09%",NA,"Mar 2012",2019-01-30
"139",139,"The Rock Trading","$352,804","$352,804","$783,417","$9,797,071",14,"-12.79%",NA,"Jan 2011",2019-01-30
"140",140,"CoinMate","$342,086","$342,086","$1,220,636","$8,819,081",1,"-28.23%",NA,"Dec 2013",2019-01-30
"141",141,"Trade Satoshi","$313,727","$313,727","$2,377,584","$6,425,754",366,"-18.14%",NA,"Nov 2015",2019-01-30
"142",142,"Bitbns","$301,888","$301,888","$1,329,951","$9,193,217",63,"5.04%",NA,"Nov 2017",2019-01-30
"143",143,"Stellar Decen...","$301,542","$301,542","$1,311,861","$9,963,842",25,"5.58%",NA,"Jul 2017",2019-01-30
"144",144,"Huobi (HBUS)","$266,740","$266,740","$10,686,375","$16,653,821",34,"-24.90%",NA,"Jun 2018",2019-01-30
"145",145,"BitMarket","$265,138","$265,138","$806,122","$8,197,564",6,"-8.12%",NA,"Mar 2014",2019-01-30
"146",146,"Braziliex","$250,022","$250,022","$497,084","$3,898,014",25,"-41.47%",NA,"May 2017",2019-01-30
"147",147,"RippleFox","$191,075","$191,075","$382,415","$2,475,358",3,"77.96%",NA,"May 2014",2019-01-30
"148",148,"CoinPlace","$188,029","$188,029","$796,616","$4,165,244",50,"-4.85%",NA,"Oct 2017",2019-01-30
"149",149,"CoinCorner","$185,625","$185,625","$587,276","$3,905,372",2,"7.51%",NA,"Jul 2014",2019-01-30
"150",150,"WazirX","$180,975","$180,975","$775,523","$6,303,277",75,"-52.87%",NA,"Mar 2018",2019-01-30
"151",151,"BitcoinToYou","$175,815","$175,815","$834,065","$8,056,659",1,"-22.13%",NA,"Apr 2012",2019-01-30
"152",152,"Bithesap","$174,684","$174,684","$398,577","$7,415,495",2,"98.83%",NA,"Dec 2017",2019-01-30
"153",153,"Koinex","$167,623","$167,623","$716,287","$4,871,578",32,"23.66%",NA,"May 2017",2019-01-30
"154",154,"EtherDelta (F...","$156,842","$156,842","$400,576","$1,622,732",26,"11.68%",NA,"Jan 2018",2019-01-30
"155",155,"Kuna","$150,354","$150,354","$530,106","$4,532,458",26,"-13.24%",NA,"Mar 2016",2019-01-30
"156",156,"CoinExchange","$147,151","$147,151","$689,867","$9,387,005",449,"-33.76%",NA,"Mar 2016",2019-01-30
"157",157,"Kyber Network","$134,410","$134,410","$674,800","$4,391,329",58,"18.20%",NA,"Feb 2018",2019-01-30
"158",158,"Ripple China","$130,523","$130,523","$89,774","$848,884",1,"182.25%",NA,"Nov 2013",2019-01-30
"159",159,"TradeOgre","$127,431","$127,431","$700,240","$4,551,057",51,"-5.33%",NA,"Jan 2018",2019-01-30
"160",160,"Bittylicious","$104,487","$104,487","$308,194","$2,256,592",39,"-6.36%",NA,"May 2013",2019-01-30
"161",161,"Radar Relay","$103,136","$103,136","$140,051","$821,308",42,"298.41%",NA,"Aug 2017",2019-01-30
"162",162,"Buda","$93,564","$93,564","$170,497","$2,186,061",7,"25.75%",NA,"Apr 2015",2019-01-30
"163",163,"Bitex.la","$91,789","$91,789","$44,766","$1,221,008",1,"575.82%",NA,"Dec 2013",2019-01-30
"164",164,"OTCBTC","$89,977","$89,977","$336,810","$2,907,055",77,"-10.25%",NA,"Oct 2017",2019-01-30
"165",165,"BitShares Ass...","$83,692","$83,692","$593,176","$4,801,485",14,"-58.81%",NA,"Feb 2016",2019-01-30
"166",166,"CoinFalcon","$81,714","$81,714","$243,407","$1,648,163",26,"12.13%",NA,"May 2017",2019-01-30
"167",167,"RuDEX","$78,797","$78,797","$278,146","$1,047,329",6,"-22.65%",NA,"Apr 2017",2019-01-30
"168",168,"Bitstamp (Rip...","$78,363","$78,363","$144,552","$5,353,385",2,"49.32%",NA,"Aug 2011",2019-01-30
"169",169,"Escodex","$73,381","$73,381","$293,822","$3,010,393",22,"12.67%",NA,"Apr 2018",2019-01-30
"170",170,"DDEX","$71,852","$71,852","$1,336,858","$5,602,020",105,"33.69%",NA,"Dec 2017",2019-01-30
"171",171,"Koinim","$61,709","$61,709","$262,646","$2,678,343",6,"-6.88%",NA,"Apr 2013",2019-01-30
"172",172,"Graviex","$59,400","$59,400","$392,906","$3,470,138",107,"-28.15%",NA,"Feb 2018",2019-01-30
"173",173,"YunEx","$53,375","$53,375","$201,026","$949,646",9,"38.29%",NA,"Jan 2018",2019-01-30
"174",174,"AidosMarket","$50,725","$50,725","$703,300","$3,340,937",1,"69.50%",NA,"Jan 2018",2019-01-30
"175",175,"Cryptomate","$34,586","$34,586","$37,651","$320,260",16,"-53.59%",NA,"May 2015",2019-01-30
"176",176,"Bleutrade","$32,378","$32,378","$178,761","$1,817,162",52,"-41.41%",NA,"Mar 2014",2019-01-30
"177",177,"Allbit","$30,457","$185,803","$222,086","$21,500,556",18,"2.34%",NA,"Mar 2018",2019-01-30
"178",178,"Coinnest","$29,891","$29,891","$34,627","$270,541",35,"286.19%",NA,"Aug 2017",2019-01-30
"179",179,"Switcheo Network","$28,290","$28,290","$128,448","$911,673",46,"0.28%",NA,"Mar 2018",2019-01-30
"180",180,"BTC Trade UA","$27,106","$27,106","$155,993","$1,113,455",11,"-26.81%",NA,"May 2014",2019-01-30
"181",181,"CryptoMarket","$26,175","$26,175","$90,042","$1,366,462",15,"5.32%",NA,"Jan 2017",2019-01-30
"182",182,"Neraex","$24,431","$1,243,393","$24,895,214","$174,312,251",13,"-18.52%",NA,"Jan 2017",2019-01-30
"183",183,"Bisq","$22,653","$22,653","$152,389","$2,436,825",16,"-15.34%",NA,"Dec 2014",2019-01-30
"184",184,"Bit2C","$21,532","$21,532","$96,310","$1,277,090",2,"-43.06%",NA,"Jan 2013",2019-01-30
"185",185,"ezBtc","$21,208","$21,208","$78,161","$1,174,389",1,"-33.68%",NA,"May 2016",2019-01-30
"186",186,"SouthXchange","$17,021","$17,021","$47,434","$624,587",90,"80.62%",NA,"Feb 2015",2019-01-30
"187",187,"Paymium","$14,808","$14,808","$60,501","$609,288",1,"-26.53%",NA,"May 2010",2019-01-30
"188",188,"Nocks","$12,416","$12,416","$64,782","$398,388",1,"-74.89%",NA,"Oct 2017",2019-01-30
"189",189,"Coinut","$12,146","$12,146","$382,087","$1,710,375",27,"-67.61%",NA,"Nov 2013",2019-01-30
"190",190,"Novaexchange","$10,589","$10,589","$3,635","$22,986",32,"618.58%",NA,"Jan 2016",2019-01-30
"191",191,"Coinrail","$9,404","$9,404","$19,237","$408,144",45,"108.23%",NA,"Jul 2017",2019-01-30
"192",192,"Tux Exchange","$7,547","$7,547","$503","$10,275",16,"4420.33%",NA,"Aug 2016",2019-01-30
"193",193,"Altilly","$6,839","$6,839","$38,265","$90,023",20,"-31.57%",NA,"May 2018",2019-01-30
"194",194,"C-Patex","$6,677","$6,677","$41,930","$165,756",23,"-58.98%",NA,"Nov 2014",2019-01-30
"195",195,"Tripe Dice Ex...","$5,760","$5,760","$16,654","$124,041",4,"10.66%",NA,"May 2016",2019-01-30
"196",196,"C-CEX","$4,389","$4,389","$94,970","$983,871",49,"-76.43%",NA,"Dec 2013",2019-01-30
"197",197,"CRXzone","$3,487","$3,487","$44,848","$369,846",1,"153.74%",NA,"Apr 2014",2019-01-30
"198",198,"Token Store","$2,722","$2,722","$30,742","$248,423",6,"-44.59%",NA,"Jul 2017",2019-01-30
"199",199,"Coingi","$2,615","$2,615","$393","$67,978",1,"664.85%",NA,"Aug 2014",2019-01-30
"200",200,"FreiExchange","$1,669","$1,669","$1,775","$29,320",13,"-14.75%",NA,"Dec 2016",2019-01-30
"201",201,"Nanex","$1,015","$1,015","$1,206","$23,337",15,"48.92%",NA,"Dec 2017",2019-01-30
"202",202,"ISX","$432","$432","$323","$3,473",1,"?",NA,"Jun 2016",2019-01-30
"203",203,"GuldenTrader","$225","$225","$0","$496",1,"-66.51%",NA,"Apr 2014",2019-01-30
"204",204,"Bytex","$206","$206","$9,198","$3,775,544",12,"-36.11%",NA,"Apr 2018",2019-01-30
"205",205,"Heat Wallet","$48","$48","$1,751","$3,462",1,"-90.16%",NA,"Feb 2016",2019-01-30
"206",206,"Coinrate","$0","$0","$269","$2,350",5,"-98.73%",NA,"Jul 2016",2019-01-30
"207",207,"Gatecoin","$0","$0","$25,897","$173,807",15,"-100.00%",NA,"May 2013",2019-01-30
"208",208,"BTCC","$0","$0","$0","$35,343",0,"?",NA,"Jun 2011",2019-01-30
"209",209,"Cryptopia","$0","$0","$0","$16,176,237",0,"?",NA,"May 2014",2019-01-30
"210",210,"Coincheck","$0","$5,352,082","$22,261,117","$209,543,707",1,"15.45%",NA,"Aug 2012",2019-01-30
"211",211,"QuadrigaCX","$0","$0","$1,284,887","$15,710,726",0,"?",NA,"Sep 2013",2019-01-30
"212",212,"BitMEX","$0","$954,957,316","$4,089,454,334","$26,262,477,418",1,"-7.68%",NA,"Apr 2014",2019-01-30
"213",213,"Liqui","$0","$0","$489,942","$28,929,281",182,"?",NA,"Apr 2016",2019-01-30
